iter	Passed	Remaining
577	6827	4984
578	6838	4972
579	6849	4960
580	6860	4947
581	6870	4934
582	6881	4921
583	6892	4909
584	6903	4897
585	6915	4886
586	6927	4874
587	6939	4862
588	6951	4850
589	6963	4838
590	6975	4827
591	6987	4815
592	6998	4803
593	7009	4791
594	7020	4778
595	7032	4766
596	7043	4754
597	7054	4742
598	7066	4730
599	7077	4718
600	7090	4707
601	7101	4694
602	7113	4683
603	7128	4673
604	7140	4662
605	7152	4650
606	7164	4638
607	7175	4626
608	7186	4614
609	7198	4602
610	7210	4590
611	7222	4579
612	7235	4567
613	7247	4556
614	7259	4544
615	7272	4533
616	7284	4522
617	7298	4511
618	7309	4498
619	7320	4486
620	7330	4474
621	7342	4462
622	7353	4449
623	7364	4437
624	7376	4425
625	7387	4413
626	7399	4402
627	7411	4390
628	7422	4377
629	7434	4366
630	7446	4354
631	7457	4342
632	7469	4330
633	7480	4318
634	7491	4305
635	7501	4293
636	7513	4281
637	7526	4270
638	7537	4258
639	7548	4245
640	7559	4233
641	7569	4221
642	7581	4209
643	7593	4197
644	7605	4185
645	7616	4173
646	7628	4161
647	7639	4150
648	7651	4138
649	7662	4125
650	7673	4113
651	7685	4101
652	7696	4090
653	7709	4078
654	7721	4067
655	7733	4055
656	7745	4043
657	7757	4031
658	7769	4020
659	7780	4008
660	7791	3996
661	7803	3984
662	7815	3972
663	7827	3960
664	7839	3949
665	7850	3936
666	7862	3925
667	7874	3913
668	7887	3902
669	7900	3891
670	7913	3879
671	7925	3868
672	7938	3857
673	7950	3845
674	7965	3835
675	7979	3824
676	7991	3813
677	8004	3801
678	8016	3790
679	8028	3778
680	8040	3766
681	8051	3754
682	8062	3741
683	8073	3729
684	8085	3718
685	8098	3706
686	8109	3694
687	8120	3682
688	8132	3670
689	8143	3658
690	8155	3647
691	8166	3634
692	8178	3623
693	8190	3611
694	8202	3599
695	8215	3588
696	8226	3576
697	8238	3564
698	8250	3552
699	8262	3540
700	8274	3529
701	8285	3517
702	8297	3505
703	8309	3493
704	8321	3482
705	8333	3470
706	8344	3458
707	8356	3446
708	8368	3434
709	8379	3422
710	8390	3410
711	8403	3399
712	8414	3387
713	8426	3375
714	8436	3362
715	8447	3350
716	8459	3338
717	8470	3326
718	8482	3315
719	8494	3303
720	8506	3291
721	8517	3279
722	8529	3267
723	8541	3256
724	8552	3244
725	8563	3232
726	8574	3219
727	8586	3208
728	8597	3196
729	8608	3184
730	8620	3172
731	8631	3160
732	8643	3148
733	8654	3136
734	8666	3124
735	8678	3113
736	8690	3101
737	8702	3089
738	8713	3077
739	8725	3065
740	8737	3054
741	8750	3042
742	8762	3031
743	8773	3019
744	8784	3006
745	8796	2995
746	8808	2983
747	8820	2971
748	8831	2959
749	8842	2947
750	8853	2935
751	8865	2923
752	8877	2911
753	8890	2900
754	8902	2889
755	8915	2877
756	8926	2865
757	8937	2853
758	8949	2841
759	8959	2829
760	8972	2817
761	8982	2805
762	8994	2793
763	9006	2782
764	9018	2770
765	9030	2758
766	9042	2746
767	9054	2735
768	9066	2723
769	9078	2711
770	9089	2699
771	9100	2687
772	9113	2676
773	9124	2664
774	9135	2652
775	9146	2640
776	9158	2628
777	9171	2617
778	9183	2605
779	9196	2593
780	9207	2581
781	9219	2570
782	9230	2558
783	9241	2546
784	9252	2534
785	9263	2522
786	9274	2510
787	9286	2498
788	9298	2486
789	9309	2474
790	9320	2462
791	9332	2450
792	9343	2439
793	9354	2427
794	9366	2415
795	9378	2403
796	9391	2391
797	9402	2380
798	9413	2368
799	9425	2356
800	9437	2344
801	9450	2333
802	9461	2321
803	9472	2309
804	9483	2297
805	9495	2285
806	9507	2273
807	9518	2261
808	9530	2250
809	9542	2238
810	9554	2226
811	9565	2214
812	9578	2203
813	9590	2191
814	9601	2179
815	9612	2167
816	9623	2155
817	9635	2143
818	9648	2132
819	9659	2120
820	9671	2108
821	9684	2097
822	9696	2085
823	9709	2073
824	9720	2061
825	9731	2049
826	9742	2038
827	9755	2026
828	9767	2014
829	9779	2002
830	9791	1991
831	9802	1979
832	9813	1967
833	9824	1955
834	9834	1943
835	9844	1931
836	9855	1919
837	9867	1907
838	9878	1895
839	9889	1883
840	9900	1871
841	9911	1859
842	9923	1848
843	9934	1836
844	9945	1824
845	9957	1812
846	9968	1800
847	9980	1788
848	9992	1777
849	10003	1765
850	10014	1753
851	10025	1741
852	10037	1729
853	10049	1717
854	10059	1706
855	10071	1694
856	10084	1682
857	10095	1670
858	10106	1658
859	10117	1647
860	10128	1635
861	10140	1623
862	10151	1611
863	10163	1599
864	10176	1588
865	10188	1576
866	10200	1564
867	10212	1553
868	10224	1541
869	10236	1529
870	10247	1517
871	10260	1506
872	10273	1494
873	10284	1482
874	10296	1470
875	10308	1459
876	10320	1447
877	10331	1435
878	10343	1423
879	10355	1412
880	10367	1400
881	10380	1388
882	10391	1376
883	10402	1364
884	10413	1353
885	10425	1341
886	10437	1329
887	10448	1317
888	10461	1306
889	10473	1294
890	10487	1282
891	10498	1271
892	10510	1259
893	10521	1247
894	10533	1235
895	10544	1223
896	10555	1212
897	10568	1200
898	10581	1188
899	10593	1177
900	10606	1165
901	10617	1153
902	10631	1141
903	10642	1130
904	10654	1118
905	10667	1106
906	10680	1095
907	10691	1083
908	10701	1071
909	10713	1059
910	10725	1047
911	10736	1036
912	10748	1024
913	10760	1012
914	10772	1000
915	10783	988
916	10794	977
917	10805	965
918	10817	953
919	10828	941
920	10839	929
921	10851	917
922	10862	906
923	10875	894
924	10886	882
925	10897	870
926	10910	859
927	10922	847
928	10933	835
929	10945	823
930	10955	811
931	10965	800
932	10977	788
933	10990	776
934	11003	764
935	11015	753
936	11028	741
937	11039	729
938	11051	717
939	11062	706
940	11074	694
941	11086	682
942	11097	670
943	11107	658
944	11120	647
945	11132	635
946	11145	623
947	11156	611
948	11170	600
949	11183	588
950	11194	576
951	11206	565
952	11217	553
953	11228	541
954	11238	529
955	11250	517
956	11261	506
957	11273	494
958	11283	482
959	11293	470
960	11304	458
961	11316	447
962	11327	435
963	11339	423
964	11351	411
965	11364	399
966	11375	388
967	11386	376
968	11397	364
969	11410	352
970	11422	341
971	11433	329
972	11445	317
973	11457	305
974	11469	294
975	11481	282
976	11494	270
977	11506	258
978	11518	247
979	11529	235
980	11541	223
981	11554	211
982	11565	200
983	11576	188
984	11587	176
985	11599	164
986	11611	152
987	11623	141
988	11634	129
989	11646	117
990	11658	105
991	11670	94
992	11683	82
993	11695	70
994	11705	58
995	11716	47
996	11727	35
997	11737	23
998	11747	11
999	11758	0
